instance;obj_best;time_best;obj_first;time_first
10;199861;0.000800052;4299999;0.000159749
15;799644;0.001628107;3399653;0.000200419
20;200527;0.002777226;1100527;0.00052044
25;299323;0.00430469;2999541;0.000296115
30;99047;0.006143016;500802;0.000696756
40;101064;0.010890236;698928;0.001408115
50;101181;0.017047372;1901536;0.000465039
60;1604;0.02538319;4298776;0.000553104
70;201969;0.032079197;601886;0.000598014
80;198144;0.043666864;5002139;0.000745936
90;2189;0.058551943;1297921;0.000840158
100;2438;0.071119403;2902828;0.001786739
150;4134;0.160145036;2704113;0.001383081
200;194929;0.289350995;4105142;0.00195277
250;93636;0.462325961;13106999;0.00234075
300;7561;0.677428757;8192504;0.002837102
400;10638;1.285882931;18990904;0.004359075
500;12804;2.079531798;8287519;0.005698967
600;15069;3.149992102;7115566;0.007673451
700;16954;4.463190752;13218761;0.008147142
800;79969;6.019908292;8980228;0.010236045
900;21146;7.808614523;3122179;0.011952106
1000;24399;9.951389388;11675497;0.013108552
1500;37797;26.037824347;18739681;0.02409737
2000;49659;50.971680832;13050898;0.034708184
2500;35829;88.092891162;17637862;0.055817099
3000;23572;137.679223479;1524206;0.117063924
